,*,anon,comment,contentformat,contentmodel,minor,parentid,revid,timestamp,user
0,"On September 22, 2016 [[Yahoo]] reported that account information for up to 500 million user had been hacked.<ref name=""Yahoo Says Hackers Stole Data on 500 Million Users in 2014"">{{cite web | url=http://www.nytimes.com/2016/09/23/technology/yahoo-hackers.html?_r=0 | title=Yahoo Says Hackers Stole Data on 500 Million Users in 2014 | publisher=New York Times | date=September 22, 2016 | accessdate=22 September 2016}}</ref>",,Create article (edited with [[User:ProveIt_GT|ProveIt]]),text/x-wiki,wikitext,,0,740713273,"(2016, 9, 22, 20, 17, 23, 3, 266, -1)",Ad Orientem
1,"On September 22, 2016 [[Yahoo]] reported that account information for up to 500 million user had been hacked.<ref name=""Yahoo Says Hackers Stole Data on 500 Million Users in 2014"">{{cite web | url=http://www.nytimes.com/2016/09/23/technology/yahoo-hackers.html?_r=0 | title=Yahoo Says Hackers Stole Data on 500 Million Users in 2014 | publisher=New York Times | date=September 22, 2016 | accessdate=22 September 2016}}</ref>

==References==
{{reflist}}",,+ reflist,text/x-wiki,wikitext,,740713273,740713351,"(2016, 9, 22, 20, 18, 4, 3, 266, -1)",Ad Orientem
2,"{{current}}
On September 22, 2016 [[Yahoo]] reported that account information for up to 500 million user had been hacked.<ref name=""Yahoo Says Hackers Stole Data on 500 Million Users in 2014"">{{cite web | url=http://www.nytimes.com/2016/09/23/technology/yahoo-hackers.html?_r=0 | title=Yahoo Says Hackers Stole Data on 500 Million Users in 2014 | publisher=New York Times | date=September 22, 2016 | accessdate=22 September 2016}}</ref>

==References==
{{reflist}}",,+ current event tag,text/x-wiki,wikitext,,740713351,740713417,"(2016, 9, 22, 20, 18, 40, 3, 266, -1)",Ad Orientem
3,"{{current}}
On September 22, 2016 [[Yahoo]] reported that account information for up to 500 million user had been hacked.<ref name=""Yahoo Says Hackers Stole Data on 500 Million Users in 2014"">{{cite web | url=http://www.nytimes.com/2016/09/23/technology/yahoo-hackers.html?_r=0 | title=Yahoo Says Hackers Stole Data on 500 Million Users in 2014 | publisher=New York Times | date=September 22, 2016 | accessdate=22 September 2016}}</ref> Yahoo alleged in its statement that the act was ""state sponsored.""

==References==
{{reflist}}",,add,text/x-wiki,wikitext,,740713417,740713747,"(2016, 9, 22, 20, 21, 35, 3, 266, -1)",Ad Orientem
4,"{{current}}
On September 22, 2016 [[Yahoo]] reported that account information for up to 500 million user had been hacked.<ref name=""Yahoo Says Hackers Stole Data on 500 Million Users in 2014"">{{cite web | url=http://www.nytimes.com/2016/09/23/technology/yahoo-hackers.html?_r=0 | title=Yahoo Says Hackers Stole Data on 500 Million Users in 2014 | publisher=New York Times | date=September 22, 2016 | accessdate=22 September 2016}}</ref> Yahoo alleged in its statement that the act was ""state sponsored.""<ref name=""Yahoo confirms data breach affecting at least 500 million accounts"">{{cite web | url=https://www.washingtonpost.com/news/the-switch/wp/2016/09/22/report-yahoo-to-confirm-data-breach-affecting-hundreds-of-millions-of-accounts/?hpid=hp_hp-top-table-main_yahoo-switch-330pm%3Ahomepage%2Fstory | title=Yahoo confirms data breach affecting at least 500 million accounts | publisher=Washington Post | date=September 22, 2016 | accessdate=22 September 2016}}</ref>

==References==
{{reflist}}",,add reference (edited with [[User:ProveIt_GT|ProveIt]]),text/x-wiki,wikitext,,740713747,740713914,"(2016, 9, 22, 20, 23, 1, 3, 266, -1)",Ad Orientem
5,"{{current}}
On September 22, 2016 [[Yahoo]] reported that account information for up to 500 million user had been hacked.<ref name=""Yahoo Says Hackers Stole Data on 500 Million Users in 2014"">{{cite web | url=http://www.nytimes.com/2016/09/23/technology/yahoo-hackers.html?_r=0 | title=Yahoo Says Hackers Stole Data on 500 Million Users in 2014 | publisher=New York Times | date=September 22, 2016 | accessdate=22 September 2016}}</ref> Yahoo alleged in its statement that the act was ""state sponsored.""<ref name=""Yahoo confirms data breach affecting at least 500 million accounts"">{{cite web | url=https://www.washingtonpost.com/news/the-switch/wp/2016/09/22/report-yahoo-to-confirm-data-breach-affecting-hundreds-of-millions-of-accounts/?hpid=hp_hp-top-table-main_yahoo-switch-330pm%3Ahomepage%2Fstory | title=Yahoo confirms data breach affecting at least 500 million accounts | publisher=Washington Post | date=September 22, 2016 | accessdate=22 September 2016}}</ref>

==References==
{{reflist}}

[[Category:Hacking by year]]",,added [[Category:Hacking by year]] using [[WP:HC|HotCat]],text/x-wiki,wikitext,,740713914,740714527,"(2016, 9, 22, 20, 28, 2, 3, 266, -1)",Malunrenta
6,"{{current}}
On September 22, 2016 [[Yahoo]] reported that account information for up to 500 million user had been hacked.<ref name=""Yahoo Says Hackers Stole Data on 500 Million Users in 2014"">{{cite web | url=http://www.nytimes.com/2016/09/23/technology/yahoo-hackers.html?_r=0 | title=Yahoo Says Hackers Stole Data on 500 Million Users in 2014 | publisher=New York Times | date=September 22, 2016 | accessdate=22 September 2016}}</ref> Yahoo alleged in its statement that the act was ""state sponsored.""<ref name=""Yahoo confirms data breach affecting at least 500 million accounts"">{{cite web | url=https://www.washingtonpost.com/news/the-switch/wp/2016/09/22/report-yahoo-to-confirm-data-breach-affecting-hundreds-of-millions-of-accounts/?hpid=hp_hp-top-table-main_yahoo-switch-330pm%3Ahomepage%2Fstory | title=Yahoo confirms data breach affecting at least 500 million accounts | publisher=Washington Post | date=September 22, 2016 | accessdate=22 September 2016}}</ref> It was believed that the hack compromised personal data from the accounts including names, addresses, passwords, telephone numbers and possibly encrypted information including security questions.<ref name=""Yahoo Says 'State-Sponsored Actor' Hacked 500M Accounts"">{{cite web | url=http://www.nbcnews.com/tech/tech-news/your-yahoo-account-was-probably-hacked-company-set-confirm-massive-n652586 | title=Yahoo Says 'State-Sponsored Actor' Hacked 500M Accounts | publisher=NBC News | date=September 22, 2016 | accessdate=22 September 2016}}</ref>

==References==
{{reflist}}

[[Category:Hacking by year]]",,add (edited with [[User:ProveIt_GT|ProveIt]]),text/x-wiki,wikitext,,740714527,740714723,"(2016, 9, 22, 20, 29, 53, 3, 266, -1)",Ad Orientem
7,"{{current}}
On September 22, 2016 [[Yahoo]] reported that account information for up to 500 million user had been [[Hack|hacked]].<ref name=""Yahoo Says Hackers Stole Data on 500 Million Users in 2014"">{{cite web | url=http://www.nytimes.com/2016/09/23/technology/yahoo-hackers.html?_r=0 | title=Yahoo Says Hackers Stole Data on 500 Million Users in 2014 | publisher=New York Times | date=September 22, 2016 | accessdate=22 September 2016}}</ref> Yahoo alleged in its statement that the act was ""state sponsored.""<ref name=""Yahoo confirms data breach affecting at least 500 million accounts"">{{cite web | url=https://www.washingtonpost.com/news/the-switch/wp/2016/09/22/report-yahoo-to-confirm-data-breach-affecting-hundreds-of-millions-of-accounts/?hpid=hp_hp-top-table-main_yahoo-switch-330pm%3Ahomepage%2Fstory | title=Yahoo confirms data breach affecting at least 500 million accounts | publisher=Washington Post | date=September 22, 2016 | accessdate=22 September 2016}}</ref> It was believed that the hack compromised personal data from the accounts including names, addresses, passwords, telephone numbers and possibly encrypted information including security questions.<ref name=""Yahoo Says 'State-Sponsored Actor' Hacked 500M Accounts"">{{cite web | url=http://www.nbcnews.com/tech/tech-news/your-yahoo-account-was-probably-hacked-company-set-confirm-massive-n652586 | title=Yahoo Says 'State-Sponsored Actor' Hacked 500M Accounts | publisher=NBC News | date=September 22, 2016 | accessdate=22 September 2016}}</ref>

==References==
{{reflist}}

[[Category:Hacking by year]]",,+ wiki link,text/x-wiki,wikitext,,740714723,740714980,"(2016, 9, 22, 20, 32, 10, 3, 266, -1)",Ad Orientem
8,"{{current}}
On September 22, 2016 [[Yahoo]] reported that account information for up to 500 million user had been [[Hack|hacked]].<ref name=""Yahoo Says Hackers Stole Data on 500 Million Users in 2014"">{{cite web | url=http://www.nytimes.com/2016/09/23/technology/yahoo-hackers.html?_r=0 | title=Yahoo Says Hackers Stole Data on 500 Million Users in 2014 | publisher=New York Times | date=September 22, 2016 | accessdate=22 September 2016}}</ref> Yahoo alleged in its statement that the act was ""state sponsored.""<ref name=""Yahoo confirms data breach affecting at least 500 million accounts"">{{cite web | url=https://www.washingtonpost.com/news/the-switch/wp/2016/09/22/report-yahoo-to-confirm-data-breach-affecting-hundreds-of-millions-of-accounts/?hpid=hp_hp-top-table-main_yahoo-switch-330pm%3Ahomepage%2Fstory | title=Yahoo confirms data breach affecting at least 500 million accounts | publisher=Washington Post | date=September 22, 2016 | accessdate=22 September 2016}}</ref> It was believed that the hack compromised personal data from the accounts including names, addresses, passwords, telephone numbers and possibly encrypted information including security questions.<ref name=""Yahoo Says 'State-Sponsored Actor' Hacked 500M Accounts"">{{cite web | url=http://www.nbcnews.com/tech/tech-news/your-yahoo-account-was-probably-hacked-company-set-confirm-massive-n652586 | title=Yahoo Says 'State-Sponsored Actor' Hacked 500M Accounts | publisher=NBC News | date=September 22, 2016 | accessdate=22 September 2016}}</ref> Further the statement claimed that the hacker was no longer in Yahoo's system and that the company was fully cooperating with law enforcement.<ref name=""Yahoo confirms data breach affecting at least 500 million accounts"">{{cite web | url=https://www.washingtonpost.com/news/the-switch/wp/2016/09/22/report-yahoo-to-confirm-data-breach-affecting-hundreds-of-millions-of-accounts/?hpid=hp_hp-top-table-main_yahoo-switch-330pm%3Ahomepage%2Fstory | title=Yahoo confirms data breach affecting at least 500 million accounts | publisher=Washington Post | date=September 22, 2016 | accessdate=22 September 2016}}</ref> 

==References==
{{reflist}}

[[Category:Hacking by year]]",,add,text/x-wiki,wikitext,,740714980,740715410,"(2016, 9, 22, 20, 35, 7, 3, 266, -1)",Ad Orientem
9,"{{current}}
On September 22, 2016 [[Yahoo]] reported that account information for up to 500 million user had been [[Hack|hacked]].<ref name=""Yahoo Says Hackers Stole Data on 500 Million Users in 2014"">{{cite web | url=http://www.nytimes.com/2016/09/23/technology/yahoo-hackers.html?_r=0 | title=Yahoo Says Hackers Stole Data on 500 Million Users in 2014 | publisher=New York Times | date=September 22, 2016 | accessdate=22 September 2016}}</ref> Yahoo alleged in its statement that the act was ""state sponsored.""<ref name=""Yahoo confirms data breach affecting at least 500 million accounts"">{{cite web | url=https://www.washingtonpost.com/news/the-switch/wp/2016/09/22/report-yahoo-to-confirm-data-breach-affecting-hundreds-of-millions-of-accounts/?hpid=hp_hp-top-table-main_yahoo-switch-330pm%3Ahomepage%2Fstory | title=Yahoo confirms data breach affecting at least 500 million accounts | publisher=Washington Post | date=September 22, 2016 | accessdate=22 September 2016}}</ref> It was believed that the hack compromised personal data from the accounts including names, addresses, passwords, telephone numbers and possibly encrypted information including security questions.<ref name=""Yahoo Says 'State-Sponsored Actor' Hacked 500M Accounts"">{{cite web | url=http://www.nbcnews.com/tech/tech-news/your-yahoo-account-was-probably-hacked-company-set-confirm-massive-n652586 | title=Yahoo Says 'State-Sponsored Actor' Hacked 500M Accounts | publisher=NBC News | date=September 22, 2016 | accessdate=22 September 2016}}</ref> Further the statement claimed that the hacker was no longer in Yahoo's system and that the company was fully cooperating with law enforcement.<ref name=""Yahoo confirms data breach affecting at least 500 million accounts"">{{cite web | url=https://www.washingtonpost.com/news/the-switch/wp/2016/09/22/report-yahoo-to-confirm-data-breach-affecting-hundreds-of-millions-of-accounts/?hpid=hp_hp-top-table-main_yahoo-switch-330pm%3Ahomepage%2Fstory | title=Yahoo confirms data breach affecting at least 500 million accounts | publisher=Washington Post | date=September 22, 2016 | accessdate=22 September 2016}}</ref> 

==References==
{{reflist}}

[[Category:Hacking by year]]
[[Category:Technology companies]]",,added [[Category:Technology companies]] using [[WP:HC|HotCat]],text/x-wiki,wikitext,,740715410,740715668,"(2016, 9, 22, 20, 36, 56, 3, 266, -1)",Ad Orientem
